continent,country,year,gdpPercap
Americas,Argentina,1952,5911.315053
Americas,Argentina,1957,6856.856212
Americas,Argentina,1962,7133.166023
Americas,Argentina,1967,8052.953021
Americas,Argentina,1972,9443.038526
Americas,Argentina,1977,10079.02674
Americas,Argentina,1982,8997.897412
Americas,Argentina,1987,9139.671389
Americas,Argentina,1992,9308.41871
Americas,Argentina,1997,10967.28195
Americas,Argentina,2002,8797.640716
Americas,Argentina,2007,12779.37964
Americas,Bolivia,1952,2677.326347
Americas,Bolivia,1957,2127.686326
Americas,Bolivia,1962,2180.972546
Americas,Bolivia,1967,2586.886053
Americas,Bolivia,1972,2980.331339
Americas,Bolivia,1977,3548.097832
Americas,Bolivia,1982,3156.510452
Americas,Bolivia,1987,2753.69149
Americas,Bolivia,1992,2961.699694
Americas,Bolivia,1997,3326.143191
Americas,Bolivia,2002,3413.26269
Americas,Bolivia,2007,3822.137084
Americas,Brazil,1952,2108.944355
Americas,Brazil,1957,2487.365989
Americas,Brazil,1962,3336.585802
Americas,Brazil,1967,3429.864357
Americas,Brazil,1972,4985.711467
Americas,Brazil,1977,6660.118654
Americas,Brazil,1982,7030.835878
Americas,Brazil,1987,7807.095818
Americas,Brazil,1992,6950.283021
Americas,Brazil,1997,7957.980824
Americas,Brazil,2002,8131.212843
Americas,Brazil,2007,9065.800825
Americas,Canada,1952,11367.16112
Americas,Canada,1957,12489.95006
Americas,Canada,1962,13462.48555
Americas,Canada,1967,16076.58803
Americas,Canada,1972,18970.57086
Americas,Canada,1977,22090.88306
Americas,Canada,1982,22898.79214
Americas,Canada,1987,26626.51503
Americas,Canada,1992,26342.88426
Americas,Canada,1997,28954.92589
Americas,Canada,2002,33328.96507
Americas,Canada,2007,36319.23501
Americas,Chile,1952,3939.978789
Americas,Chile,1957,4315.622723
Americas,Chile,1962,4519.094331
Americas,Chile,1967,5106.654313
Americas,Chile,1972,5494.024437
Americas,Chile,1977,4756.763836
Americas,Chile,1982,5095.665738
Americas,Chile,1987,5547.063754
Americas,Chile,1992,7596.125964
Americas,Chile,1997,10118.05318
Americas,Chile,2002,10778.78385
Americas,Chile,2007,13171.63885
Americas,Colombia,1952,2144.115096
Americas,Colombia,1957,2323.805581
Americas,Colombia,1962,2492.351109
